AREAS,SLUG,COLOR,ICON,DESCRIP,TIPO,EVALDIM,INDICADOR,FUENTE,
"Trabajo, ingresos, seguridad económica y desigualdad",economia,#a53331,flowbite:scale-balanced-solid,"Esta área aborda las condiciones económicas que influyen directamente en la salud de las personas, como el empleo digno, los ingresos adecuados, la protección frente a la pobreza y la inseguridad alimentaria. Incluye políticas relacionadas con el trabajo, la protección social y la redistribución del ingreso. Su monitoreo permite identificar desigualdades económicas que afectan el acceso a recursos esenciales para una vida saludable.",Determinantes sociales,Pobreza,Proporción de la población que vive por debajo del umbral internacional de pobreza,Base de datos de indicadores de los ODS de la ONU,"Edad, Sexo, Lugar de residencia (rural/urbano), Discapacidad"
"Trabajo, ingresos, seguridad económica y desigualdad",economia,#a53331,flowbite:scale-balanced-solid,"Esta área aborda las condiciones económicas que influyen directamente en la salud de las personas, como el empleo digno, los ingresos adecuados, la protección frente a la pobreza y la inseguridad alimentaria. Incluye políticas relacionadas con el trabajo, la protección social y la redistribución del ingreso. Su monitoreo permite identificar desigualdades económicas que afectan el acceso a recursos esenciales para una vida saludable.",Determinantes sociales,Pobreza multidimensional,Incidencia de la pobreza multidimensional,PNUD y OPHI (Oxford Poverty and Human Development Initiative),"Edad, Sexo del cabeza de  familia, Lugar de residencia (rural/urbano), Región subnacional, Etnia, raza o casta"
"Trabajo, ingresos, seguridad económica y desigualdad",economia,#a53331,flowbite:scale-balanced-solid,"Esta área aborda las condiciones económicas que influyen directamente en la salud de las personas, como el empleo digno, los ingresos adecuados, la protección frente a la pobreza y la inseguridad alimentaria. Incluye políticas relacionadas con el trabajo, la protección social y la redistribución del ingreso. Su monitoreo permite identificar desigualdades económicas que afectan el acceso a recursos esenciales para una vida saludable.",Determinantes sociales,Desigualdad de la riqueza,Índice de Gini,Global Data Lab (Laboratorio Mundial de Datos),"Situación económica, situación de pobreza, lugar de residencia (rural/urbano) y región subnacional"
"Trabajo, ingresos, seguridad económica y desigualdad",economia,#a53331,flowbite:scale-balanced-solid,"Esta área aborda las condiciones económicas que influyen directamente en la salud de las personas, como el empleo digno, los ingresos adecuados, la protección frente a la pobreza y la inseguridad alimentaria. Incluye políticas relacionadas con el trabajo, la protección social y la redistribución del ingreso. Su monitoreo permite identificar desigualdades económicas que afectan el acceso a recursos esenciales para una vida saludable.",Determinantes sociales,Condiciones de empleo y trabajo,Población ocupada urbana en empleos de baja productividad,CEPALSTAT,"Sexo, Ocupación"
"Trabajo, ingresos, seguridad económica y desigualdad",economia,#a53331,flowbite:scale-balanced-solid,"Esta área aborda las condiciones económicas que influyen directamente en la salud de las personas, como el empleo digno, los ingresos adecuados, la protección frente a la pobreza y la inseguridad alimentaria. Incluye políticas relacionadas con el trabajo, la protección social y la redistribución del ingreso. Su monitoreo permite identificar desigualdades económicas que afectan el acceso a recursos esenciales para una vida saludable.",Determinantes sociales,Condiciones de empleo y trabajo,Población asalariada que aporta a un sistema previsional,CEPALSTAT,"Sexo, Ocupación"
"Trabajo, ingresos, seguridad económica y desigualdad",economia,#a53331,flowbite:scale-balanced-solid,"Esta área aborda las condiciones económicas que influyen directamente en la salud de las personas, como el empleo digno, los ingresos adecuados, la protección frente a la pobreza y la inseguridad alimentaria. Incluye políticas relacionadas con el trabajo, la protección social y la redistribución del ingreso. Su monitoreo permite identificar desigualdades económicas que afectan el acceso a recursos esenciales para una vida saludable.",Determinantes sociales,Condiciones de empleo y trabajo,Accidentes laborales mortales entre los empleados (por 100 000 empleados),Base de datos de indicadores de los ODS de la ONU,"Sexo, estatus migratorio"
"Trabajo, ingresos, seguridad económica y desigualdad",economia,#a53331,flowbite:scale-balanced-solid,"Esta área aborda las condiciones económicas que influyen directamente en la salud de las personas, como el empleo digno, los ingresos adecuados, la protección frente a la pobreza y la inseguridad alimentaria. Incluye políticas relacionadas con el trabajo, la protección social y la redistribución del ingreso. Su monitoreo permite identificar desigualdades económicas que afectan el acceso a recursos esenciales para una vida saludable.",Determinantes sociales,Condiciones de empleo y trabajo,Lesiones profesionales no mortales entre los empleados (por 100 000 empleados),Base de datos de indicadores de los ODS de la ONU,"Sexo, estatus migratorio"
"Trabajo, ingresos, seguridad económica y desigualdad",economia,#a53331,flowbite:scale-balanced-solid,"Esta área aborda las condiciones económicas que influyen directamente en la salud de las personas, como el empleo digno, los ingresos adecuados, la protección frente a la pobreza y la inseguridad alimentaria. Incluye políticas relacionadas con el trabajo, la protección social y la redistribución del ingreso. Su monitoreo permite identificar desigualdades económicas que afectan el acceso a recursos esenciales para una vida saludable.",Determinantes sociales,Condiciones de empleo y trabajo,Mujeres con dedicación de cuidado exclusiva,CEPALSTAT,"Quintiles de ingreso, urbano/rural, grupos de edad, número de personas del hogar, numero de niñxs a cargo"
"Trabajo, ingresos, seguridad económica y desigualdad",economia,#a53331,flowbite:scale-balanced-solid,"Esta área aborda las condiciones económicas que influyen directamente en la salud de las personas, como el empleo digno, los ingresos adecuados, la protección frente a la pobreza y la inseguridad alimentaria. Incluye políticas relacionadas con el trabajo, la protección social y la redistribución del ingreso. Su monitoreo permite identificar desigualdades económicas que afectan el acceso a recursos esenciales para una vida saludable.",Determinantes sociales,Ingresos,Salario medio por hora de los empleados (moneda local),"Base de datos de indicadores de los ODS de la ONU, también en CEPALSTAT","Sexo, Ocupación"
"Trabajo, ingresos, seguridad económica y desigualdad",economia,#a53331,flowbite:scale-balanced-solid,"Esta área aborda las condiciones económicas que influyen directamente en la salud de las personas, como el empleo digno, los ingresos adecuados, la protección frente a la pobreza y la inseguridad alimentaria. Incluye políticas relacionadas con el trabajo, la protección social y la redistribución del ingreso. Su monitoreo permite identificar desigualdades económicas que afectan el acceso a recursos esenciales para una vida saludable.",Políticas ,Políticas sociales: Mercado laboral,Cumplimiento nacional de los derechos laborales,Base de datos de indicadores de los ODS de la ONU,N/A
"Trabajo, ingresos, seguridad económica y desigualdad",economia,#a53331,flowbite:scale-balanced-solid,"Esta área aborda las condiciones económicas que influyen directamente en la salud de las personas, como el empleo digno, los ingresos adecuados, la protección frente a la pobreza y la inseguridad alimentaria. Incluye políticas relacionadas con el trabajo, la protección social y la redistribución del ingreso. Su monitoreo permite identificar desigualdades económicas que afectan el acceso a recursos esenciales para una vida saludable.",Políticas ,Políticas sociales: Mercado laboral,Cobertura de las prestaciones de desempleo y programas de mercado de trabajo activo (ALMP),"Datos abiertos del Banco Mundial (Fuente original: The Atlas of Social Protection - Indicators of Resilience and Equity, Banco Mundial)",Situación económica
"Trabajo, ingresos, seguridad económica y desigualdad",economia,#a53331,flowbite:scale-balanced-solid,"Esta área aborda las condiciones económicas que influyen directamente en la salud de las personas, como el empleo digno, los ingresos adecuados, la protección frente a la pobreza y la inseguridad alimentaria. Incluye políticas relacionadas con el trabajo, la protección social y la redistribución del ingreso. Su monitoreo permite identificar desigualdades económicas que afectan el acceso a recursos esenciales para una vida saludable.",Políticas ,Políticas públicas: Protección social,Cobertura de los programas de trabajo y protección social,"Datos abiertos del Banco Mundial (Fuente original: The Atlas of Social Protection - Indicators of Resilience and Equity, Banco Mundial)",Situación económica
"Trabajo, ingresos, seguridad económica y desigualdad",economia,#a53331,flowbite:scale-balanced-solid,"Esta área aborda las condiciones económicas que influyen directamente en la salud de las personas, como el empleo digno, los ingresos adecuados, la protección frente a la pobreza y la inseguridad alimentaria. Incluye políticas relacionadas con el trabajo, la protección social y la redistribución del ingreso. Su monitoreo permite identificar desigualdades económicas que afectan el acceso a recursos esenciales para una vida saludable.",Políticas ,Políticas públicas: Protección social,Cobertura programas seguro social,"Datos abiertos del Banco Mundial (Fuente original: The Atlas of Social Protection - Indicators of Resilience and Equity, Banco Mundial)",Situación económica
"Trabajo, ingresos, seguridad económica y desigualdad",economia,#a53331,flowbite:scale-balanced-solid,"Esta área aborda las condiciones económicas que influyen directamente en la salud de las personas, como el empleo digno, los ingresos adecuados, la protección frente a la pobreza y la inseguridad alimentaria. Incluye políticas relacionadas con el trabajo, la protección social y la redistribución del ingreso. Su monitoreo permite identificar desigualdades económicas que afectan el acceso a recursos esenciales para una vida saludable.",Políticas ,Políticas públicas: Protección social,Proporción de niños u hogares que perciben prestaciones pecuniarias familiares o por hijo,Base de datos de indicadores de los ODS de la ONU,Sexo
"Trabajo, ingresos, seguridad económica y desigualdad",economia,#a53331,flowbite:scale-balanced-solid,"Esta área aborda las condiciones económicas que influyen directamente en la salud de las personas, como el empleo digno, los ingresos adecuados, la protección frente a la pobreza y la inseguridad alimentaria. Incluye políticas relacionadas con el trabajo, la protección social y la redistribución del ingreso. Su monitoreo permite identificar desigualdades económicas que afectan el acceso a recursos esenciales para una vida saludable.",Políticas ,Políticas públicas: Protección social,Población cubierta por al menos una prestación de protección social,Base de datos de indicadores de los ODS de la ONU,Sexo
Educación,educacion,#d46b36,flowbite:book-open-outline,"Considera tanto el acceso como la calidad y los resultados del sistema educativo, desde la educación inicial hasta la terciaria. El nivel educativo está estrechamente vinculado a la salud y a la capacidad de las personas para acceder a información, oportunidades laborales y servicios. Monitorear esta área permite evaluar brechas educativas y el impacto de políticas orientadas a garantizar una educación inclusiva y equitativa.",Determinantes sociales,Nivel educativo,Tasa finalización estudios,Base de datos de indicadores de los ODS de la ONU,"Sexo, urbano/rural y quintil de ingreso, por nivel educativo"
Educación,educacion,#d46b36,flowbite:book-open-outline,"Considera tanto el acceso como la calidad y los resultados del sistema educativo, desde la educación inicial hasta la terciaria. El nivel educativo está estrechamente vinculado a la salud y a la capacidad de las personas para acceder a información, oportunidades laborales y servicios. Monitorear esta área permite evaluar brechas educativas y el impacto de políticas orientadas a garantizar una educación inclusiva y equitativa.",Determinantes sociales,Nivel educativo,Población de 20 a 24 años con educación secundaria completa,CEPALSTAT,"Sexo, urbano/rural"
Educación,educacion,#d46b36,flowbite:book-open-outline,"Considera tanto el acceso como la calidad y los resultados del sistema educativo, desde la educación inicial hasta la terciaria. El nivel educativo está estrechamente vinculado a la salud y a la capacidad de las personas para acceder a información, oportunidades laborales y servicios. Monitorear esta área permite evaluar brechas educativas y el impacto de políticas orientadas a garantizar una educación inclusiva y equitativa.",Determinantes sociales,Cobertura y calidad,Tasa de participación en el aprendizaje organizado (un año antes de la edad oficial de ingreso en la enseñanza primaria),Encuestas de Demografía y Salud,"Sexo, Situación económica, Lugar de residencia (rural/urbano), Región subnacional"
Educación,educacion,#d46b36,flowbite:book-open-outline,"Considera tanto el acceso como la calidad y los resultados del sistema educativo, desde la educación inicial hasta la terciaria. El nivel educativo está estrechamente vinculado a la salud y a la capacidad de las personas para acceder a información, oportunidades laborales y servicios. Monitorear esta área permite evaluar brechas educativas y el impacto de políticas orientadas a garantizar una educación inclusiva y equitativa.",Determinantes sociales,Cobertura y calidad,Tasa neta de asistencia a la escuela secundaria,Encuestas de Demografía y Salud,"Sexo, Situación económica, Lugar de residencia (rural/urbano), Región subnacional"
Educación,educacion,#d46b36,flowbite:book-open-outline,"Considera tanto el acceso como la calidad y los resultados del sistema educativo, desde la educación inicial hasta la terciaria. El nivel educativo está estrechamente vinculado a la salud y a la capacidad de las personas para acceder a información, oportunidades laborales y servicios. Monitorear esta área permite evaluar brechas educativas y el impacto de políticas orientadas a garantizar una educación inclusiva y equitativa.",Determinantes sociales,Cobertura y calidad,Tasa neta de asistencia a la escuela primaria,Encuestas de Demografía y Salud,"Sexo, Situación económica, Lugar de residencia (rural/urbano), Región subnacional"
